customer_id,age,tenure_months,income,city,plan_type,num_purchases,support_tickets,satisfaction_score,monthly_spend,churn
1,22,27,39738.0,Jaffna,Basic,1,0,7.4,532.98,0
2,59,66,60595.0,Negombo,Standard,13,0,6.9,939.1,0
3,52,36,55258.0,Kandy,Standard,7,1,4.1,821.44,1
4,41,51,39073.0,Colombo,Premium,9,0,7.5,634.25,0
5,40,33,33139.0,Colombo,Premium,7,1,7.8,564.38,0
6,63,20,59976.0,Colombo,Basic,5,3,5.6,846.49,0
7,22,56,34269.0,Colombo,Basic,12,0,10.0,660.1,0
8,54,70,57456.0,Galle,Premium,22,1,7.4,1031.82,0
9,28,19,44612.0,Colombo,Basic,5,0,9.5,661.55,0
10,22,57,37929.0,Kandy,Basic,15,0,8.3,672.86,0
11,45,19,54311.0,Galle,Basic,5,0,9.0,717.67,0
12,69,52,64325.0,Galle,Premium,9,1,7.7,986.17,0
13,56,57,58980.0,Colombo,Basic,15,0,9.6,946.41,0
14,58,33,52672.0,Jaffna,Premium,8,2,6.9,796.26,0
15,56,54,54722.0,Galle,Basic,9,1,8.0,807.61,0
16,59,20,58631.0,Galle,Premium,4,2,7.2,756.11,0
17,45,6,54673.0,Colombo,Basic,0,5,4.7,676.52,1
18,24,7,35838.0,Colombo,Basic,3,3,6.7,549.5,1
19,62,33,62227.0,Negombo,Basic,4,1,10.0,844.93,0
20,41,65,45955.0,Kandy,Standard,13,1,,685.0,0
21,44,10,48495.0,Colombo,Premium,1,2,7.3,607.33,0
22,37,33,50327.0,Kandy,Premium,9,1,8.9,821.22,0
23,27,51,,Galle,Basic,9,2,8.2,472.15,0
24,67,15,54071.0,Negombo,Basic,4,0,8.0,652.83,0
25,59,52,48557.0,Colombo,Basic,9,0,5.1,804.41,0
26,52,23,39598.0,Negombo,Basic,7,3,6.8,620.47,0
27,39,59,42380.0,Colombo,Basic,8,2,4.1,637.76,0
28,61,42,63047.0,Galle,Standard,10,0,9.8,901.71,0
29,46,40,48591.0,Galle,Premium,6,2,7.0,730.39,0
30,41,13,48737.0,Colombo,Premium,2,2,8.0,611.16,1
31,41,34,54085.0,Colombo,Premium,9,0,6.9,840.95,0
32,30,62,49466.0,Kandy,Premium,17,1,5.5,873.28,0
33,22,2,36685.0,Negombo,Basic,0,0,8.3,470.01,0
34,47,55,58972.0,Galle,Basic,9,2,6.8,859.48,0
35,65,36,61303.0,Negombo,Basic,7,1,6.8,846.64,0
36,21,52,31526.0,Jaffna,Basic,7,2,6.9,538.14,0
37,63,48,56084.0,Kandy,Premium,12,2,10.0,826.39,0
38,61,32,49667.0,Jaffna,Basic,12,2,7.8,719.13,0
39,32,23,37271.0,Colombo,Basic,6,0,9.3,575.83,0
40,51,46,50902.0,Colombo,Standard,5,1,8.4,726.07,0
41,26,11,44122.0,Jaffna,Basic,2,0,9.8,596.67,0
42,58,43,67225.0,Jaffna,Basic,6,0,7.8,927.01,0
43,55,7,46957.0,Colombo,Premium,3,1,4.9,612.66,1
44,36,47,47157.0,Kandy,Standard,9,1,7.2,743.38,0
45,21,46,30307.0,Galle,Basic,17,0,9.0,619.86,0
46,69,7,65798.0,Jaffna,Premium,3,1,6.2,832.09,0
47,41,55,46763.0,Galle,Basic,12,1,7.2,736.68,0
48,65,30,49765.0,Kandy,Premium,6,0,7.2,782.01,0
49,53,57,59720.0,Kandy,Basic,6,0,9.8,751.24,0
50,59,3,53820.0,Kandy,Standard,1,1,8.3,699.83,0
51,58,13,53697.0,Galle,Basic,2,2,7.6,625.2,0
52,28,36,33981.0,Jaffna,Basic,8,1,,535.44,1
53,37,14,41424.0,Kandy,Premium,3,1,7.4,541.74,1
54,42,24,50667.0,Colombo,Basic,9,1,7.6,670.6,0
55,44,48,48065.0,Colombo,Basic,11,2,5.4,766.34,0
56,20,11,37972.0,Galle,Basic,3,2,4.2,502.46,0
57,46,49,52472.0,Jaffna,Premium,4,4,5.8,621.7,0
58,26,8,47224.0,Colombo,Premium,0,1,7.8,620.27,0
59,57,13,54293.0,Colombo,Premium,2,0,9.5,756.92,0
60,54,43,45839.0,Galle,Basic,9,2,8.7,755.67,0
61,66,58,67703.0,Colombo,Basic,13,2,8.7,1028.79,0
62,57,13,54361.0,Jaffna,Basic,5,2,5.6,744.17,0
63,37,22,52038.0,Colombo,Standard,3,0,7.6,739.58,0
64,69,67,65250.0,Colombo,Premium,8,0,8.6,982.3,0
65,39,72,45663.0,Negombo,Premium,17,1,10.0,851.3,0
66,35,42,46343.0,Colombo,Standard,10,1,9.2,678.45,0
67,65,33,72456.0,Colombo,Standard,6,2,8.1,981.53,0
68,37,25,57812.0,Colombo,Premium,3,1,6.9,773.32,0
69,22,45,37516.0,Colombo,Basic,10,2,5.7,537.81,0
70,42,43,49061.0,Colombo,Basic,1,0,8.9,641.51,0
71,60,22,64457.0,Colombo,Basic,7,2,5.5,982.4,0
72,28,2,35326.0,Colombo,Basic,0,1,7.1,469.51,0
73,42,11,50098.0,Colombo,Basic,3,1,7.3,722.11,0
74,24,70,38045.0,Galle,Basic,7,1,9.3,581.86,0
75,54,31,56583.0,Galle,Basic,5,1,7.0,766.07,0
76,43,35,43650.0,Kandy,Standard,4,1,4.5,615.05,0
77,35,34,34713.0,Colombo,Basic,4,1,8.0,459.92,0
78,30,57,29062.0,Kandy,Basic,12,2,6.0,498.19,1
79,47,5,44146.0,Jaffna,Premium,5,2,6.9,670.4,0
80,53,6,51398.0,Jaffna,Premium,1,2,6.7,705.67,0
81,67,20,60091.0,Colombo,Basic,8,1,7.1,813.45,0
82,41,36,59173.0,Colombo,Basic,5,0,8.9,838.8,0
83,26,49,45936.0,Colombo,Premium,14,1,5.6,763.75,0
84,62,36,53327.0,Colombo,Basic,4,4,5.0,729.52,0
85,51,32,55136.0,Galle,Basic,10,2,7.6,840.04,0
86,55,68,52808.0,Kandy,Premium,20,1,6.7,973.47,0
87,23,12,35944.0,Colombo,Basic,2,0,6.1,482.64,0
88,34,42,44812.0,Kandy,Premium,4,1,8.2,670.15,0
89,58,40,60615.0,Kandy,Standard,5,1,8.7,829.76,0
90,62,35,57064.0,Colombo,Standard,11,0,7.9,883.74,0
91,41,59,53933.0,Jaffna,Basic,9,0,5.6,759.87,0
92,60,20,51148.0,Colombo,Basic,7,0,8.8,818.12,0
93,62,69,59138.0,Negombo,Basic,17,0,6.0,986.45,0
94,38,24,61486.0,Colombo,Basic,2,0,8.4,814.35,0
95,65,40,62088.0,Jaffna,Premium,7,0,6.9,798.73,0
96,33,38,51749.0,Negombo,Basic,5,0,6.6,678.08,0
97,30,62,42049.0,Negombo,Standard,10,1,6.9,714.1,0
98,54,32,58185.0,Jaffna,Premium,7,1,7.2,827.7,0
99,51,21,52709.0,Jaffna,Premium,5,0,7.2,645.96,0
100,25,2,37728.0,Galle,Basic,1,0,8.7,528.27,0
101,62,27,54423.0,Jaffna,Basic,5,0,7.5,721.32,0
102,28,60,42982.0,Colombo,Premium,11,4,6.8,746.24,1
103,60,1,52891.0,Kandy,Standard,1,1,7.7,665.18,0
104,18,65,38894.0,Kandy,Basic,11,3,5.4,648.92,1
105,60,40,64512.0,Jaffna,Premium,12,2,5.8,1009.3,0
106,59,11,59649.0,Kandy,Premium,7,1,5.4,797.89,0
107,59,22,55733.0,Kandy,Basic,3,2,7.1,691.08,0
108,53,40,56874.0,Galle,Standard,6,1,7.0,778.63,1
109,42,23,46248.0,Colombo,Basic,6,4,2.8,692.06,1
110,55,8,60863.0,Colombo,Standard,0,0,7.4,697.12,0
111,32,48,31612.0,Kandy,Premium,7,1,6.3,430.62,1
112,59,49,55436.0,Kandy,Basic,12,1,9.3,886.18,0
113,47,9,38905.0,Colombo,Basic,3,1,5.4,504.74,1
114,42,21,39130.0,Kandy,Basic,4,1,5.7,529.87,0
115,44,18,57383.0,Kandy,Premium,3,2,8.1,676.32,0
116,48,48,56771.0,Colombo,Basic,9,1,9.0,800.09,0
117,19,53,31133.0,Kandy,Basic,16,0,7.1,617.29,0
118,25,53,,Galle,Basic,12,1,6.6,582.04,1
119,31,68,24263.0,Colombo,Basic,8,1,8.1,392.31,0
120,24,56,34939.0,Negombo,Basic,8,2,4.0,617.56,1
121,41,24,62072.0,Negombo,Basic,6,4,3.4,821.48,1
122,53,8,56759.0,Kandy,Basic,1,1,7.1,687.78,0
123,52,45,50243.0,Colombo,Basic,10,2,8.7,824.41,0
124,42,66,50890.0,Kandy,Basic,10,1,6.9,779.14,0
125,63,71,50284.0,Jaffna,Basic,12,2,6.9,769.33,1
126,47,17,49066.0,Galle,Basic,3,2,8.2,644.59,0
127,22,18,37697.0,Jaffna,Basic,2,1,9.9,554.49,0
128,58,3,56383.0,Kandy,Basic,1,1,6.7,769.24,1
129,48,11,56145.0,Galle,Basic,10,2,6.8,801.07,1
130,51,40,55118.0,Colombo,Basic,3,1,9.6,721.72,0
131,47,40,54860.0,Galle,Basic,11,2,5.0,835.93,0
132,47,27,46720.0,Colombo,Basic,6,0,9.2,625.19,0
133,22,23,42487.0,Galle,Basic,2,3,5.0,555.62,0
134,47,60,60624.0,Jaffna,Premium,18,1,7.5,999.7,0
135,60,34,52179.0,Colombo,Basic,7,0,7.7,789.76,0
136,34,59,38374.0,Galle,Basic,8,2,5.7,640.79,0
137,49,70,59965.0,Colombo,Basic,22,1,6.2,1034.41,0
138,19,23,34302.0,Galle,Basic,7,1,7.7,521.07,0
139,36,15,53223.0,Colombo,Basic,0,1,8.6,685.25,0
140,41,69,44895.0,Negombo,Premium,13,1,7.2,717.33,0
141,70,46,72230.0,Colombo,Premium,6,0,8.1,994.31,0
142,29,21,41739.0,Negombo,Basic,8,1,8.1,629.35,0
143,32,45,44149.0,Jaffna,Basic,7,1,6.2,609.01,0
144,39,38,55838.0,Galle,Basic,8,3,7.1,763.78,0
145,70,66,61329.0,Jaffna,Basic,9,1,8.4,939.83,0
146,63,19,54003.0,Jaffna,Standard,1,1,10.0,675.78,0
147,19,72,32759.0,Negombo,Basic,9,0,,604.72,0
148,30,68,44214.0,Colombo,Basic,16,1,6.9,754.02,0
149,61,14,49155.0,Galle,Premium,4,1,8.3,677.51,0
150,21,12,40375.0,Colombo,Basic,4,0,9.0,656.21,0
151,63,39,56417.0,Galle,Basic,11,1,6.8,808.71,0
152,32,4,49487.0,Colombo,Premium,2,1,6.9,565.93,0
153,66,22,46934.0,Galle,Basic,7,1,8.0,732.67,0
154,33,32,38431.0,Galle,Basic,11,2,5.8,602.1,1
155,41,70,37431.0,Kandy,Basic,10,2,6.3,608.34,0
156,53,72,49193.0,Kandy,Premium,18,1,7.5,838.88,0
157,24,11,39686.0,Jaffna,Basic,5,2,8.0,576.96,1
158,47,65,49775.0,Jaffna,Basic,9,1,6.7,705.28,0
159,44,7,47680.0,Kandy,Basic,2,2,4.6,612.96,0
160,59,54,56495.0,Galle,Basic,8,3,3.9,827.93,1
161,70,61,64720.0,Negombo,Standard,18,2,5.3,1008.31,0
162,53,65,48099.0,Colombo,Basic,15,1,5.8,779.18,0
163,39,17,50691.0,Colombo,Standard,6,2,6.6,698.4,1
164,39,65,50426.0,Colombo,Standard,9,0,6.6,693.96,0
165,40,9,49310.0,Galle,Premium,5,1,6.6,664.82,0
166,61,38,61889.0,Kandy,Basic,11,0,7.1,921.42,0
167,35,34,46029.0,Jaffna,Premium,3,0,7.5,598.37,0
168,26,23,51510.0,Galle,Standard,2,2,8.4,655.26,0
169,35,2,43727.0,Colombo,Basic,0,0,8.8,543.93,0
170,19,56,33608.0,Jaffna,Basic,14,3,6.2,593.07,0
171,23,25,33129.0,Jaffna,Standard,9,0,7.4,571.19,0
172,22,48,30906.0,Colombo,Basic,8,0,7.5,560.31,0
173,58,30,49433.0,Kandy,Premium,7,1,7.8,692.62,0
